13C,42,2
210,5,2
120,22,5
26A,7,1
23A,18,1
13B,15,145
120,12,8
23C,24,15
13A,38,1
100,20,9
26C,18,2
280,10,1
36B,22,1
13A,15,61
290,50,126
13A,24,20
13A,4,12
13C,44,3
11A,14,2
13A,47,1
23F,50,1
23F,11,1
210,53,1
220,22,5
290,12,27
250,20,3
11D,3,2
13B,51,7
23F,53,1
100,18,1
13B,5,69
11D,22,1
280,13,3
36B,10,1
290,21,104
240,18,31
23C,9,5
270,25,1
23H,11,6
23G,25,5
23F,52,2
26C,20,25
100,13,4
35A,37,1
13C,52,116
220,17,3
26C,8,1
13B,2,6
200,1,1
11B,13,2
11A,52,3
13C,38,1
23G,5,2
13B,25,1118
13B,14,56
200,14,2
23D,4,2
220,9,3
23H,14,2
23C,55,3
13A,46,1
13A,54,2
13A,12,27
26C,53,1
11C,13,1
23D,9,2
36A,20,1
520,18,1
11A,16,2
40A,5,1
520,8,2
120,2,2
13B,49,1
23F,8,1
13C,37,3
200,4,45
13B,13,1560
23H,5,19
35A,10,8
200,22,5
23H,55,2
26B,24,1
13C,4,158
13A,8,20
290,2,15
290,16,11
23H,4,30
23B,13,1
23D,14,1
13B,55,22
13A,17,12
09A,15,1
13C,45,1
11B,20,5
100,11,1
220,23,3
23B,21,1
23H,12,11
250,22,1
13A,9,22
220,5,18
13C,16,5
23H,17,1
220,3,2
120,24,3
23D,19,1
23F,21,3
13B,38,2
280,20,7
240,10,1
13B,48,4
270,8,1
13C,11,183
11B,18,1
13A,6,3
26A,41,1
250,25,1
13B,46,1
11C,11,1
13A,39,2
100,6,1
250,5,1
200,8,1
220,14,5
26A,13,3
13C,12,75
13A,14,35
120,18,52
23D,3,1
23H,16,3
23A,20,2
13B,56,1
520,14,2
13C,7,130
13C,9,141
09A,49,1
26A,55,1
240,20,29
270,20,7
23D,11,1
520,10,1
120,55,1
13B,37,2
13B,4,52
11D,20,22
23H,40,1
26C,13,1
270,7,1
13C,47,1
13B,6,10
26A,12,2
23D,25,10
11A,19,1
120,25,36
250,11,2
520,24,1
200,5,3
40B,13,1
13A,44,1
13A,20,706
290,4,843
13B,22,216
13B,23,68
23D,22,1
240,2,2
270,41,1
26B,8,7
290,17,4
23E,7,1
35A,25,10
200,23,1
13C,50,34
23H,18,28
220,13,5
35A,12,1
13C,5,190
13C,23,107
210,16,1
290,54,2
290,41,2
26A,2,2
220,18,8
13C,56,1
290,57,11
13B,18,414
23H,7,12
09A,23,1
11A,3,3
120,7,10
11D,53,5
290,39,4
26B,12,2
13B,54,10
280,1,2
13C,48,18
13A,16,8
35A,22,4
13C,14,49
35A,46,1
220,7,2
13A,5,21
200,18,4
23H,24,9
13A,3,145
290,7,45
26E,25,2
290,24,67
290,52,271
13C,41,3
35B,25,5
290,55,29
13B,17,15
35B,53,1
520,1,1
120,45,1
200,24,1
35B,3,1
250,8,3
26A,24,4
26C,7,1
13C,20,3016
23F,23,1
13C,18,322
13B,9,67
23H,22,19
200,25,11
09A,18,1
13A,11,30
240,24,1
120,16,1
13A,23,40
23F,20,67
23C,5,3
240,25,4
23C,17,1
290,53,273
290,8,34
13A,7,61
23H,9,1
13B,7,107
13B,39,4
250,47,1
220,54,1
13C,15,45
290,13,906
13B,52,59
23F,4,1
250,21,4
09A,10,1
23F,55,1
290,25,1507
13C,25,516
200,10,2
13B,47,5
23H,52,7
23G,13,7
200,7,1
120,50,19
13B,45,4
290,19,12
290,48,6
23G,18,5
23F,38,1
11D,13,3
210,20,7
370,25,2
250,13,1
23F,46,1
23G,20,12
26C,17,1
23H,51,1
240,55,1
11C,15,1
35A,50,1
23B,25,1
13C,19,5
13B,42,4
120,5,2
250,12,2
220,48,2
290,42,3
23H,23,13
23C,13,1
13B,24,34
13B,21,164
23F,14,1
26C,11,1
35A,52,1
26E,39,1
200,16,2
120,10,15
09B,3,1
23C,8,75
35B,21,2
13A,1,57
11A,13,12
26C,25,6
120,4,2
23F,48,1
290,18,561
13C,2,23
26A,25,9
23C,20,2
520,15,1
290,11,157
250,2,5
220,21,13
11A,10,1
200,17,1
13C,39,2
220,53,9
35A,13,95
23F,24,1
290,46,2
23D,21,4
23D,5,7
23D,23,1
13B,41,3
290,15,7
120,21,5
35B,12,3
23F,25,6
35B,20,11
13B,40,1
11B,15,1
13B,11,94
200,13,13
35B,15,2
35B,8,1
11D,10,1
220,37,2
23F,19,1
290,22,588
120,53,4
13A,25,233
11D,11,1
13A,53,39
120,52,2
26C,2,4
220,52,25
23H,19,1
13B,16,14
26C,4,1
36B,20,3
23C,25,5
290,10,72
23H,50,3
23E,20,2
120,23,7
13A,2,5
23D,1,1
13B,44,3
370,20,2
280,53,2
13C,22,390
290,5,165
23H,1,8
13A,55,8
240,13,15
26A,20,27
11A,20,24
09A,4,2
23H,46,1
290,3,24
26E,20,4
120,56,1
13C,6,11
23C,12,32
26B,13,1
290,44,5
23A,13,1
23H,25,47
13A,21,64
290,51,12
220,46,2
290,1,41
35B,1,1
13A,45,1
220,40,1
240,14,1
220,42,1
13A,10,39
13A,57,1
26A,5,1
13A,51,1
35A,9,4
250,7,7
13A,50,51
220,1,1
11D,25,1
100,53,1
26B,56,1
13C,13,1105
13C,55,20
100,14,1
35B,13,28
13C,3,96
11D,9,1
520,13,14
09A,25,3
13A,13,1132
11D,52,1
23C,47,1
26A,21,3
290,56,1
35A,8,1
13A,22,43
23D,8,2
13C,10,23
13B,50,74
290,38,2
13A,19,2
220,8,1
09A,20,7
23F,18,59
220,25,80
13C,17,14
13C,46,1
290,6,21
13C,53,260
370,52,1
13A,18,255
13C,54,4
23H,2,5
11B,10,1
13C,24,85
23B,23,1
13B,10,50
13A,52,17
13C,57,9
26B,7,4
23D,39,1
11A,5,1
510,18,1
11A,25,6
23H,21,8
120,9,2
23D,53,4
13A,42,1
09A,13,5
09A,14,1
40B,14,1
40C,18,1
35B,18,1
520,50,1
13B,3,293
120,3,7
26B,14,2
23H,6,4
220,6,5
23C,7,9
26B,21,1
09A,22,1
23H,8,21
26B,25,3
26C,5,1
200,20,57
520,20,10
35A,23,4
35B,22,1
13B,57,1
120,1,11
35A,53,4
23D,7,3
35A,18,8
11A,50,1
290,9,66
13B,8,63
520,22,3
13B,53,241
520,3,2
11B,50,1
120,11,1
520,11,1
220,19,7
23H,13,53
13B,12,69
23H,10,3
210,9,1
270,2,1
23E,14,1
11D,50,1
290,37,8
120,17,3
220,20,442
13B,1,151
280,25,2
220,2,1
13C,21,215
23D,12,5
120,8,4
23F,42,1
290,47,1
13C,8,69
250,9,1
280,7,1
26A,9,1
26A,18,1
13C,1,79
120,20,71
220,12,4
26B,9,1
290,23,18
290,14,33
26B,20,19
290,20,2975
35A,21,6
100,25,2
240,11,1
270,9,2
35A,20,99
23H,20,252
220,24,9
23F,13,32
09A,1,1
26A,8,3
11D,44,1
270,24,1
26B,52,1
23H,3,3
120,14,4
220,10,2
11D,15,2
13B,20,1561
220,50,1
09A,7,1
250,23,4
23D,52,1
240,1,1
220,4,53
35A,7,4
270,5,3
23H,48,1
35A,55,1
23D,20,75
240,41,1
23H,53,13
13C,51,3
23C,23,5
26B,2,1
240,5,1
26B,5,1
120,13,338
200,12,3
13A,48,2
26C,23,1
26B,23,1
