09A,22,AK,1
13A,9,CA,3
290,24,MA,3
13B,12,NJ,1
23H,20,SC,15
13A,25,WA,8
290,21,AZ,3
23C,55,MT,1
23D,25,MI,1
23G,20,MO,1
220,4,TX,1
36B,10,AR,1
220,22,AZ,1
23H,20,CO,5
13A,21,DC,1
13C,23,IL,2
220,20,MA,17
290,18,OR,11
11D,53,TN,2
13A,9,FL,1
270,5,KS,1
13B,22,KY,2
13C,41,KY,1
13A,9,MI,2
13B,5,MI,8
13B,22,SD,1
13B,3,WI,3
23H,13,DC,1
13A,15,NC,3
11C,11,CO,1
13A,3,KS,1
23F,20,LA,1
290,42,MI,1
13B,14,MN,1
13B,3,CA,21
200,20,CO,1
13C,23,CT,4
13C,5,CT,3
13C,20,DC,12
23D,20,KS,4
13C,3,MA,5
290,22,ME,8
290,13,MN,10
09A,25,NY,3
290,14,KY,2
13B,18,NH,1
13B,10,TX,2
13B,44,CA,1
13A,18,CT,1
26B,8,CT,1
13B,51,TN,1
120,18,FL,1
220,17,KS,1
13C,12,KY,3
13B,10,MI,1
120,18,NV,1
13A,3,VA,3
120,13,WA,13
13B,20,NH,4
120,7,AL,1
200,4,WV,1
23H,5,CT,4
290,7,MA,3
40B,13,OH,1
13C,14,FL,1
23F,20,OK,1
240,18,KY,1
13A,4,ND,1
23H,20,CA,5
13C,13,CO,28
13B,1,DC,7
13A,3,IL,12
270,9,KY,1
290,20,TN,87
13C,13,TX,16
13B,20,VA,39
290,2,CA,1
23H,20,FL,2
290,3,KS,1
13B,21,VA,3
23F,20,AZ,2
120,56,CA,1
35B,13,CT,1
13B,6,UT,2
120,1,WI,1
220,12,WV,1
120,25,OH,3
13C,16,MA,1
13C,7,NB,1
13B,50,OR,1
13A,11,TN,1
290,18,CO,22
09B,3,ID,1
290,20,KS,36
290,21,MA,6
13C,5,MI,38
200,10,OH,1
13A,3,VT,1
23H,2,WV,1
13C,22,ND,1
13B,23,NV,2
23C,12,MT,2
280,7,TN,1
290,11,OK,1
13B,53,OK,2
120,7,TN,1
290,21,CA,22
200,5,CA,1
220,1,CO,1
13A,20,DC,11
290,4,FL,26
290,11,FL,3
13B,5,FL,1
13A,13,MA,60
13C,20,MS,1
13C,3,NJ,16
